ID,Idade,Genero,Estado_Civil,Rendimento_Anual,Numero_Polices,Valor_Total_Seguro,Score_Satisfacao,Tipo_Cliente
1,20,Feminino,Casado,44457.51,6,332994.72,89,Standard
2,40,Masculino,Casado,12472.62,3,108324.1,58,Economy
3,41,Feminino,Divorciado,91057.39,5,397691.37,51,Standard
4,66,Masculino,Solteiro,75160.39,2,97034.29,43,Economy
5,58,Feminino,Divorciado,78275.66,3,257599.94,93,Premium
6,49,Feminino,Casado,72935.76,5,515056.58,38,Economy
7,27,Feminino,Divorciado,65035.11,3,311292.88,84,Standard
8,59,Masculino,Divorciado,100745.67,1,268170.11,93,Premium
9,65,Masculino,Casado,73094.29,2,595280.87,62,Standard
10,34,Feminino,Solteiro,65462.45,3,192525.23,67,Standard
11,29,Feminino,Solteiro,54873.41,5,398641.11,33,Economy
12,30,Masculino,Casado,87200.55,6,317645.87,47,Economy
13,18,Masculino,Solteiro,55761.69,5,150844.43,39,Economy
14,55,Masculino,Casado,61212.03,6,552996.82,87,Standard
15,38,Masculino,Casado,28732.78,2,256841.75,71,Economy
16,64,Masculino,Divorciado,62376.6,6,72074.83,65,Standard
17,20,Masculino,Solteiro,62582.89,4,85564.21,79,Standard
18,48,Feminino,Solteiro,42459.23,1,162218.58,45,Economy
19,38,Masculino,Divorciado,10000.0,6,586277.63,38,Economy
20,24,Masculino,Divorciado,83625.85,5,112371.63,90,Standard
21,18,Feminino,Divorciado,74974.05,5,471006.57,71,Premium
22,19,Masculino,Solteiro,24685.41,5,211335.28,31,Economy
23,54,Feminino,Divorciado,58174.51,2,256736.87,51,Standard
24,33,Feminino,Solteiro,72024.18,5,475171.81,50,Economy
25,43,Feminino,Divorciado,105502.66,3,568458.79,98,Affluent
26,21,Masculino,Divorciado,116606.29,4,113520.37,86,Standard
27,47,Feminino,Divorciado,14161.5,4,386335.16,78,Economy
28,50,Feminino,Solteiro,75924.79,2,34974.53,73,Economy
29,24,Feminino,Casado,33447.47,4,582310.62,32,Economy
30,18,Feminino,Casado,50456.58,2,14750.32,55,Economy
31,35,Feminino,Casado,10000.0,6,522208.81,91,Economy
32,42,Feminino,Solteiro,63345.32,2,291106.27,100,Standard
33,19,Masculino,Divorciado,25601.11,4,146200.93,46,Economy
34,22,Masculino,Divorciado,11562.85,1,473009.96,47,Economy
35,45,Masculino,Casado,94644.61,6,437088.84,86,Premium
36,22,Masculino,Casado,59100.09,5,550518.46,84,Standard
37,48,Feminino,Casado,51639.98,3,228167.15,43,Economy
38,45,Masculino,Solteiro,75006.09,5,576243.45,84,Premium
39,38,Feminino,Divorciado,55003.32,3,315250.53,66,Standard
40,27,Masculino,Casado,77229.47,5,61306.14,92,Standard
41,68,Feminino,Divorciado,28313.49,5,590335.74,68,Economy
42,21,Feminino,Divorciado,61383.49,2,482098.56,74,Standard
43,38,Feminino,Solteiro,66811.11,2,341492.92,30,Economy
44,59,Masculino,Solteiro,82761.64,3,457436.85,59,Standard
45,61,Feminino,Divorciado,40432.99,4,397479.11,61,Standard
46,19,Feminino,Casado,64735.63,2,227934.17,41,Economy
47,53,Feminino,Divorciado,42413.18,4,553407.24,56,Standard
48,65,Masculino,Casado,89813.87,3,16173.67,74,Economy
49,37,Masculino,Solteiro,56211.69,5,332320.69,82,Standard
50,45,Masculino,Divorciado,27884.04,6,557886.03,90,Economy
51,65,Feminino,Divorciado,101846.97,1,431418.9,39,Economy
52,30,Masculino,Solteiro,56830.46,4,234780.74,32,Economy
53,61,Masculino,Divorciado,28917.44,6,119774.34,34,Economy
54,23,Feminino,Casado,141600.85,6,327362.14,62,Standard
55,63,Feminino,Casado,104088.4,5,595506.68,80,Premium
56,66,Feminino,Divorciado,56697.69,2,286899.14,93,Standard
57,25,Feminino,Casado,63362.62,2,395152.73,60,Standard
58,44,Masculino,Divorciado,81491.54,1,91608.77,68,Standard
59,23,Masculino,Solteiro,128814.94,3,343125.67,91,Affluent
60,59,Feminino,Solteiro,44060.61,6,198779.11,56,Standard
61,22,Feminino,Casado,25577.86,5,79548.55,95,Economy
62,29,Masculino,Casado,32711.46,4,506566.5,32,Economy
63,20,Masculino,Casado,41069.08,1,146646.52,68,Standard
64,48,Feminino,Casado,75508.99,4,27552.78,85,Economy
65,55,Masculino,Solteiro,10000.0,4,246787.2,34,Economy
66,47,Feminino,Casado,70125.68,4,62458.13,67,Standard
67,27,Masculino,Divorciado,66309.73,1,118331.95,51,Standard
68,61,Feminino,Casado,90299.08,4,152772.24,72,Premium
69,34,Masculino,Casado,68290.56,1,136663.77,64,Standard
70,67,Masculino,Divorciado,69981.16,2,485189.0,60,Standard
71,28,Feminino,Solteiro,20812.47,6,378043.19,38,Economy
72,51,Masculino,Casado,50727.47,1,473030.14,57,Standard
73,22,Masculino,Divorciado,62552.43,5,529858.69,87,Standard
74,53,Masculino,Divorciado,78757.7,1,348105.25,40,Economy
75,37,Masculino,Casado,107668.54,5,91399.36,94,Standard
76,24,Masculino,Solteiro,86368.9,2,300052.58,39,Economy
77,23,Feminino,Divorciado,112306.92,6,64393.4,31,Economy
78,52,Feminino,Solteiro,55478.07,6,43489.52,45,Economy
79,54,Feminino,Solteiro,46176.99,1,436909.82,51,Standard
80,33,Feminino,Solteiro,84511.09,6,585957.17,92,Premium
81,29,Masculino,Casado,33766.64,4,80826.57,92,Standard
82,64,Masculino,Solteiro,106343.8,2,118302.81,61,Standard
83,55,Masculino,Casado,98820.13,4,148538.34,99,Standard
84,20,Masculino,Casado,10000.0,5,318892.14,34,Economy
85,20,Masculino,Divorciado,30824.49,1,237299.99,58,Standard
86,55,Feminino,Casado,26320.09,4,461818.96,75,Economy
87,27,Masculino,Solteiro,59877.23,5,432860.73,30,Economy
88,68,Feminino,Solteiro,63151.43,4,211479.1,73,Standard
89,27,Masculino,Casado,79890.44,1,164003.94,85,Premium
90,39,Feminino,Casado,21086.84,4,387570.47,89,Economy
91,30,Feminino,Divorciado,72282.04,4,212876.35,45,Economy
92,53,Feminino,Divorciado,96641.85,1,192595.99,72,Premium
93,40,Feminino,Solteiro,73989.23,6,244507.08,39,Economy
94,69,Feminino,Divorciado,86242.06,2,239611.5,41,Economy
95,45,Masculino,Divorciado,32082.67,3,128957.95,88,Standard
96,21,Feminino,Solteiro,39978.17,1,65971.73,63,Standard
97,70,Feminino,Casado,98261.24,2,131751.96,93,Standard
98,62,Masculino,Solteiro,99779.62,6,405725.13,33,Economy
99,21,Feminino,Solteiro,94843.87,1,39900.6,52,Economy
100,54,Masculino,Divorciado,114462.01,3,164844.6,32,Economy
