ID,Idade,Genero,Estado_Civil,Rendimento_Anual,Numero_Polices,Valor_Total_Seguro,Score_Satisfacao,Tipo_Cliente
1,70,Feminino,Divorciado,60266.73,2,247782.61,38,Economy
2,69,Masculino,Casado,68792.69,5,132074.91,58,Standard
3,24,Feminino,Solteiro,38640.3,6,279600.78,48,Economy
4,23,Masculino,Solteiro,29756.77,6,524762.4,65,Economy
5,36,Feminino,Divorciado,26604.71,2,270237.75,73,Economy
6,64,Masculino,Casado,97672.37,6,37200.81,46,Economy
7,22,Masculino,Solteiro,22402.92,4,554903.94,71,Economy
8,45,Feminino,Divorciado,90584.44,6,446234.65,74,Premium
9,61,Masculino,Casado,59487.67,3,516615.35,64,Standard
10,69,Feminino,Solteiro,47279.65,1,167264.96,35,Economy
11,47,Masculino,Solteiro,38486.06,1,533587.78,62,Standard
12,25,Masculino,Casado,67801.15,6,527307.35,38,Economy
13,57,Feminino,Divorciado,83231.51,1,21103.55,60,Economy
14,30,Masculino,Divorciado,16878.29,3,131427.7,30,Economy
15,60,Feminino,Divorciado,51005.93,3,81050.41,69,Standard
16,25,Feminino,Solteiro,32641.52,1,392780.52,95,Standard
17,31,Feminino,Divorciado,38223.06,2,566592.17,95,Standard
18,44,Feminino,Casado,95945.47,1,134971.63,47,Economy
19,48,Masculino,Divorciado,73445.8,1,123935.87,90,Standard
20,62,Masculino,Solteiro,76704.99,4,156393.2,37,Economy
21,70,Feminino,Casado,53715.84,6,224390.12,54,Standard
22,59,Masculino,Divorciado,43100.71,4,380567.26,44,Economy
23,33,Feminino,Divorciado,53130.63,2,461296.83,91,Standard
24,25,Masculino,Casado,129745.86,2,557884.32,98,Affluent
25,65,Feminino,Casado,68130.28,5,472327.78,31,Economy
26,66,Feminino,Divorciado,80283.1,6,477366.75,95,Premium
27,64,Masculino,Divorciado,118794.0,2,589451.79,65,Standard
28,64,Masculino,Divorciado,50962.78,6,142027.47,78,Standard
29,18,Masculino,Divorciado,51023.52,3,535717.04,68,Standard
30,27,Feminino,Divorciado,52657.04,3,33084.44,30,Economy
31,53,Feminino,Divorciado,47141.34,2,468766.04,52,Standard
32,37,Feminino,Solteiro,10000.0,1,265349.49,87,Economy
33,47,Masculino,Divorciado,36043.06,5,271471.59,95,Standard
34,61,Masculino,Solteiro,66095.03,6,290229.77,82,Standard
35,21,Feminino,Divorciado,67152.66,3,389218.17,43,Economy
36,63,Masculino,Divorciado,23428.69,4,267482.06,38,Economy
37,56,Masculino,Casado,60819.46,2,195683.85,78,Standard
38,36,Masculino,Solteiro,48633.28,3,223404.73,44,Economy
39,55,Feminino,Divorciado,65927.67,4,388280.09,39,Economy
40,21,Masculino,Casado,44034.96,2,124758.58,66,Standard
41,18,Masculino,Casado,90659.49,3,98700.15,37,Economy
42,60,Feminino,Solteiro,51425.21,3,68544.95,45,Economy
43,28,Feminino,Solteiro,63241.24,2,146852.76,67,Standard
44,37,Masculino,Solteiro,89925.68,2,391804.7,97,Premium
45,56,Feminino,Divorciado,45948.85,4,298117.29,58,Standard
46,19,Masculino,Divorciado,98558.87,2,439051.47,63,Standard
47,68,Feminino,Divorciado,55212.28,2,85999.0,54,Standard
48,33,Feminino,Divorciado,84828.12,3,11757.43,93,Economy
49,68,Masculino,Casado,97927.92,3,547515.29,60,Standard
50,43,Feminino,Solteiro,68932.23,5,344752.07,97,Standard
51,39,Feminino,Divorciado,33173.1,1,324840.69,71,Standard
52,69,Feminino,Divorciado,48208.03,1,129762.37,61,Standard
53,35,Masculino,Solteiro,78342.99,5,183205.26,41,Economy
54,20,Feminino,Divorciado,73314.67,3,344640.88,83,Premium
55,23,Masculino,Casado,29338.69,1,100026.47,94,Economy
56,62,Feminino,Solteiro,25868.67,2,272713.61,100,Economy
57,62,Masculino,Casado,62024.6,4,78975.61,62,Standard
58,25,Masculino,Solteiro,98845.5,1,236917.24,99,Premium
59,67,Feminino,Casado,39729.33,2,209992.64,92,Standard
60,36,Feminino,Solteiro,62559.78,4,256733.76,65,Standard
61,45,Feminino,Solteiro,31045.36,3,199009.38,81,Standard
62,35,Feminino,Casado,86164.09,4,83716.1,33,Economy
63,23,Masculino,Solteiro,45834.56,5,559558.76,51,Standard
64,54,Feminino,Divorciado,84513.82,6,27586.61,37,Economy
65,69,Masculino,Divorciado,54941.64,3,53670.83,62,Standard
66,43,Feminino,Casado,20995.63,4,451342.2,37,Economy
67,61,Masculino,Solteiro,63851.66,4,74976.99,53,Standard
68,33,Masculino,Solteiro,109441.82,6,313583.19,65,Standard
69,33,Masculino,Solteiro,45358.72,1,396579.49,32,Economy
70,18,Feminino,Casado,85044.99,6,402072.29,57,Standard
71,35,Masculino,Casado,49061.44,4,430308.72,86,Standard
72,21,Feminino,Solteiro,55067.73,6,284294.88,40,Economy
73,50,Feminino,Casado,116630.01,2,481908.48,39,Economy
74,37,Feminino,Divorciado,15828.07,5,176676.38,92,Economy
75,32,Feminino,Solteiro,22799.5,2,128934.15,89,Economy
76,70,Feminino,Solteiro,50699.85,3,468640.11,41,Economy
77,66,Masculino,Casado,81376.07,4,87351.85,35,Economy
78,41,Feminino,Casado,94074.78,3,307999.46,66,Standard
79,34,Feminino,Casado,45845.34,2,595335.45,81,Standard
80,48,Feminino,Solteiro,54444.99,3,438370.28,91,Standard
81,51,Feminino,Divorciado,80817.61,3,516796.2,92,Premium
82,61,Feminino,Casado,87595.36,6,426567.01,88,Premium
83,28,Feminino,Casado,102011.29,4,154276.34,88,Premium
84,56,Feminino,Casado,44802.93,2,561979.11,83,Standard
85,70,Masculino,Divorciado,10000.0,2,529733.61,74,Economy
86,54,Masculino,Solteiro,72252.22,5,121198.63,57,Standard
87,67,Feminino,Divorciado,99215.3,6,474389.61,36,Economy
88,43,Masculino,Divorciado,75765.26,5,589239.53,91,Premium
89,36,Masculino,Solteiro,51742.59,3,286461.72,91,Standard
90,43,Feminino,Solteiro,46942.78,4,478256.37,67,Standard
91,70,Feminino,Solteiro,58227.91,2,57049.52,45,Economy
92,64,Masculino,Divorciado,33759.69,6,353072.08,87,Standard
93,30,Masculino,Casado,42987.46,2,313225.14,62,Standard
94,19,Masculino,Solteiro,65852.23,3,273500.34,97,Standard
95,54,Masculino,Divorciado,32837.98,3,587299.75,58,Standard
96,25,Masculino,Casado,18857.83,1,404079.21,62,Economy
97,60,Feminino,Casado,27863.48,5,298971.16,54,Economy
98,58,Masculino,Casado,19816.16,3,471293.48,76,Economy
99,62,Masculino,Solteiro,17068.55,6,43842.01,44,Economy
100,58,Feminino,Divorciado,87725.25,3,126438.93,82,Standard
101,36,Feminino,Solteiro,65261.92,6,185984.14,41,Economy
102,18,Feminino,Casado,86928.95,6,214870.15,97,Premium
103,34,Feminino,Solteiro,74418.44,5,248717.56,76,Premium
104,37,Feminino,Solteiro,74696.92,1,404324.96,48,Economy
105,64,Feminino,Divorciado,79560.45,2,198798.31,54,Standard
106,18,Masculino,Divorciado,73816.0,1,512640.61,50,Economy
107,68,Masculino,Divorciado,46215.86,2,94351.29,81,Standard
108,23,Feminino,Divorciado,33404.38,5,566660.72,82,Standard
109,27,Masculino,Divorciado,89485.74,3,35399.72,53,Economy
